text,text_length,sentiment_polarity,emotion_intensity,positive_ratio,negative_ratio,valence,energy,danceability,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,emotion_label
"咬我一口 亲我一口
亲我一口 咬我一口是你紧紧抱着腿让我走
留住嘴让我笑
是你蒙上了眼睛让我看
也堵住耳朵让我听
绝望的时候
你给我希望
黑暗的时候
你给我阳光
孤独的时候
你给我力量
幸福时
你让我悲伤咬我一口 亲我一口
亲我一口 咬我一口咬我一口 亲我一口
亲我一口 咬我一口",140,0.0,0.2413793103448276,0.1034482758620689,0.1034482758620689,0.788,0.406,0.731,151.941,-11.11,0.47,0.0,0.16,0.1,happy
"月亮下
想到他
默默地
珠泪下
记起多少旧情话
每段往事升起沉下看流云
不说话
寂寞吧
苦闷吧
想起当天
月明下
两人含笑道傻话心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢 他知道否
我在想他心里的他
快归来吧
这里才是快乐老家
几番离合再相叙
成功
挫败
懒管它
悲哀因有他
快乐为有他
跟他受苦也罢他呀他
那日归家
心里的他
快归来吧
这里才是快乐老家
这里才是快乐老家
这里才是快乐老家",229,0.1290322580645161,0.1612903225806451,0.1451612903225806,0.0161290322580645,0.778,0.695,0.723,100.512,-8.974,0.014,0.028,0.0539,0.0258,happy
"我与你双眼神色中有变化
但谁都不知两对眼睛说话
我对你分隔无非我俩也怕
但旁观者不知你到我家
喜欢吗  喜欢吗
喜欢
喜欢
喜欢吗
爱吧
我与你此刻全身仿似野马
在缠扰不清跳跃间中乱爬
我与你整晚重复再变化
令神经中枢教我眼也花",114,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.0,0.702,0.824,0.659,95.603,-5.206,0.0627,0.0,0.372,0.176,happy
"我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友’       ’
’
’           ’      ’
’
’ ’
’  ’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友
’
’
’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友   ’
‘   ‘
’    ’
’           ’
‘   ‘
’    ’
’
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友
我不喜欢你女朋友
你需要一个新的
我可能会是你的女朋友
我知道你喜欢我
不是一个秘密
我要当你的女朋友",354,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0,0.753,0.717,0.476,93.584,-9.192,0.0382,7.61e-05,0.0949,0.0818,happy
"我喜欢看你 认真的表情
在下午三点 的自习室里
我喜欢看你 傻笑的表情
粉红的嘴唇 像一片风景你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙
这是一个美好的开始你说你喜欢 夜空的流星
许下的心愿 一定会实现
能不能让我 做你的朋友
拥有你的快乐和忧愁你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙你微笑的样子 像五月的天空
花儿都比不上你的笑容
你淡淡的忧愁 像五月的云朵
被温暖的风吹走你年轻的样子 像五月的颜色
连彩虹都羞愧地闪躲
你满怀的快乐 像五月的种子
收藏青春的钥匙收藏青春的钥匙
收藏青春的钥匙",435,0.125,0.1640625,0.125,0.0,0.939,0.795,0.639,171.378,-5.927,0.034,0.0,0.0655,0.179,happy
"走在寒冷下雪的夜空
卖着火柴温饱我的梦
一步步冰冻
一步步寂寞
人情寒冷冰冻我的手一包火柴燃烧我的心
寒冷夜里挡不住前行
风刺我的脸
雪割我的口
拖着脚步还能走多久有谁来买我的火柴
有谁将一根根希望全部点燃
有谁来买我的孤单
有谁来实现我想家的呼唤每次 点燃火柴 微微光芒
看到希望 看到梦想
看见天上的妈妈说话
她说 你要勇敢 你要坚强
不要害怕 不要慌张
让你从此不必再流浪每次 点燃火柴 微微光芒
看到希望 看到梦想
看见天上的妈妈说话
她说 你要勇敢 你要坚强
不要害怕 不要慌张
让你从此不必再流浪妈妈牵着你的手回家
睡在温暖花开的 天堂",274,0.024390243902439,0.1829268292682926,0.073170731707317,0.048780487804878,0.801,0.494,0.767,96.003,-5.349,0.136,0.000277,0.0421,0.0603,happy
"因为你 我不再害怕
因为你 我有了力量因为你 我变的坚强
因为你 我可以自由翱翔温暖的双手抚慰了伤
温暖的话语充满希望
爱已止住泪水
准备努力向前
发现世界多美
让梦往前追 往前飞",90,0.037037037037037,0.1851851851851851,0.074074074074074,0.037037037037037,0.813,0.906,0.845,94.987,-3.804,0.188,0.0512,0.0687,0.0199,happy
"如果有一天
阳光不见了
世界会变冷
什么也看不到如果有一天
小雨不下了
水儿不再流
花儿也凋谢了因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你因为我们心中
藏着有一份爱
所以阳光和小雨
会与我们同在爱就是阳光
爱就是小雨
阳光和小雨
离不开我和你",152,0.1521739130434782,0.1521739130434782,0.1521739130434782,0.0,0.771,0.694,0.637,171.79,-7.933,0.522,0.0,0.26,0.223,happy
"需要阳光宝贝
我的向日葵
只在阳光下灿烂
善于激情中优美
我说阳光会不见
你说你不后悔
阳光像往常一样消失
你像我想像般中憔悴
我错了
希望月亮带给你安慰
你说你
要的不是这种光辉  我错了
希望月亮带给你安慰
需要阳光的宝贝啊
别气我不懂
别向我示威
无论我多想是个太阳
却只是另一株向日葵 阳光下的宝贝 格外耀眼 阳光下的笑脸 略显疲惫",170,0.1568627450980392,0.2156862745098039,0.1764705882352941,0.0196078431372549,0.754,0.528,0.933,109.967,-6.472,0.112,0.312,0.161,0.163,happy
"枯れ堕ちていた花が芽吹いて
幻想ゆめの季节が色を増す
手招きをする眩しい影は
光と闇のどちらへ诱うの渇いた心はきっと
涙を探して迷う
どこまで歩くの 茨の坂道を幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片がそれでも光るなら
この场所で誓うよ
幻想ゆめの果てまででも 君と真っ白い花 闇に咲くなら
揺れる姿も隠れてしまうの过ち数えてそっと
影踏み歩いて嗤う
壊れた心に 悲しみのないように抱き寄せる记忆の 明日よ消えないで
届かずに消えた言叶は祈り
希望の彼方からそれでも歌うなら
きっとまた出会える
始まりに伫む 君と飞べない鸟たちは愿った この空が消え去るように
君はあの星に愿った この空が続くように
手招きする影 答えを教えてはくれないだろう
たった一つだけ在るのは 頼りのない意志こころだったその手に触れたなら 溢れ出す爱でも
せめて今は忘れさせて
いつか幻の绊を この指に结んで
选び取った痛みだけが未来
绝望の欠片はきっと辉くから
いつかまた出会うの
幻想ゆめの中微笑む 君と",453,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.809,0.756,0.835,153.988,-5.441,0.0523,0.028,0.123,0.0606,happy
