title,artist,album,genre,emotion_label,valence,energy,danceability,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
Nonstop,Drake,Scorpion,rap,calm,0.455,0.405,0.909,154.984,-8.133,0.0306,0.00698,0.14,0.105
Keep It Goin',Deorro,Keep It Goin',edm,energetic,0.481,0.918,0.833,124.993,-5.601,0.137,0.0698,0.0914,0.239
Alien Nation,Scorpions,Face The Heat,rock,sad,0.325,0.957,0.458,97.919,-3.82,7.9e-05,0.879,0.0569,0.363
Perro Negro Granjero (Perro Negro Y Callejero Y La Grange),Molotov,Con Todo Respeto,latin,happy,0.606,0.76,0.452,80.55,-6.468,0.000195,0.0896,0.193,0.329
No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,pop,sad,0.328,0.759,0.466,160.033,-4.978,0.0521,0.0,0.199,0.0587
Glitter,Bhavi,Glitter,rap,sad,0.376,0.49,0.833,122.862,-6.685,0.115,2.65e-06,0.31,0.113
Magic,Pilot,From The Album Of The Same Name,rock,happy,0.727,0.589,0.394,203.176,-6.68,0.346,0.0,0.0608,0.134
Hookah,Bad Gyal,Hookah,latin,calm,0.483,0.579,0.872,103.973,-6.149,0.0699,2.38e-06,0.113,0.116
Push My Luck,The Chainsmokers,World War Joy...Push My Luck,pop,energetic,0.53,0.643,0.584,90.036,-6.415,0.288,0.0,0.0395,0.186
Boy Oh Boy,Good Times Ahead,Random White Dude Be Everywhere,rap,sad,0.389,0.954,0.539,129.956,-3.054,0.00224,0.835,0.12,0.0623
China,Anuel AA,China,pop,energetic,0.609,0.808,0.786,105.027,-3.702,0.0846,0.000289,0.0882,0.0822
Tell Me,Adon,Tell Me,edm,sad,0.33,0.587,0.577,95.967,-8.0,0.517,0.0196,0.0363,0.106
If You're Gone,Matchbox Twenty,Mad Season,rock,sad,0.361,0.659,0.544,109.933,-7.191,0.427,1.33e-06,0.0298,0.126
Hooked on a Feeling,Blue Swede,Hooked On A Feeling,pop,happy,0.933,0.82,0.547,118.208,-6.728,0.261,0.0,0.0805,0.3
CA$H,Olly James,CA$H,edm,energetic,0.228,0.903,0.606,127.058,-4.869,0.000345,0.901,0.0371,0.167
4 Life (feat. Graham Candy),Robin Schulz,Sugar,latin,energetic,0.293,0.812,0.678,110.035,-2.698,0.0365,1.48e-06,0.0407,0.0805
Leise,Haze,Die Zwielicht LP,rap,happy,0.897,0.706,0.611,91.434,-7.712,0.167,0.0,0.237,0.315
That's The Way Love Is,Bobby Brown,Remixes In The Key Of B,r&b,energetic,0.591,0.897,0.702,108.03,-6.615,0.00216,0.000224,0.0618,0.342
No Role Modelz,J. Cole,2014 Forest Hills Drive,pop,calm,0.458,0.521,0.696,100.0,-8.465,0.302,0.0,0.332,0.0565
Dopamine,Franc Moody,Dopamine,pop,calm,0.57,0.562,0.818,125.03,-7.779,0.0987,0.813,0.0356,0.355
All Of The People,Panama Wedding,All Of The People,pop,happy,0.95,0.696,0.685,89.976,-5.697,0.0299,0.00144,0.0533,0.0662
Often - Kygo Remix,The Weeknd,Often (Kygo Remix),latin,calm,0.408,0.491,0.523,80.156,-9.876,0.123,0.0,0.0491,0.331
Right Here,doVicente,Right Here,edm,calm,0.51,0.304,0.863,100.093,-16.88,0.664,0.00492,0.559,0.35
Dream On,Aerosmith,Aerosmith,rock,sad,0.224,0.433,0.307,160.9,-10.057,0.388,9.08e-05,0.029,0.332
